Model,Accuracy,Precision,Recall,F1_Score
Logistic Regression,91.27673796791443,30.0,2.371541501976284,4.395604395604396
Decision Tree,91.47727272727273,49.21875,24.90118577075099,33.07086614173229
Naive Bayes,91.54411764705883,0.0,0.0,0.0
